category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Fehring,fehring,fe,46.01,50.47,74.53
austria_municipalities,Feistritz am Wechsel,feistritz_am_wechsel,fe,37.01,50.65,18.98
austria_municipalities,Feistritz an der Gail,feistritz_an_der_gail,fe,19.39,45.52,-78.89
austria_municipalities,Feistritz im Rosental,feistritz_im_rosental,fe,48.2,55.06,74.96
austria_municipalities,Feistritz ob Bleiburg,feistritz_ob_bleiburg,fe,42.27,64.32,86.17
austria_municipalities,Feistritztal,feistritztal,fe,27.71,57.98,17.9
austria_municipalities,Feld am See,feld_am_see,fe,37.31,51.48,-12.8
austria_municipalities,Feldbach,feldbach,fe,33.13,48.9,89.92
austria_municipalities,Feldkirch,feldkirch,fe,37.37,56.55,84.19
austria_municipalities,Feldkirchen an der Donau,feldkirchen_an_der_donau,fe,69.01,72.52,67.98
austria_municipalities,Feldkirchen bei Graz,feldkirchen_bei_graz,fe,51.6,67.65,73.11
austria_municipalities,Feldkirchen bei Mattighofen,feldkirchen_bei_mattighofen,fe,51.75,63.23,81.07
austria_municipalities,Feldkirchen in Kärnten,feldkirchen_in_karnten,fe,44.22,51.69,47.04
austria_municipalities,Felixdorf,felixdorf,fe,40.51,54.84,54.88
austria_municipalities,Fels am Wagram,fels_am_wagram,fe,45.9,49.98,67.11
austria_municipalities,Fendels,fendels,fe,50.96,63.66,78.12
austria_municipalities,Ferlach,ferlach,fe,38.44,53.24,26.26
austria_municipalities,Ferndorf,ferndorf,fe,44.51,55.81,45.89
austria_municipalities,Fernitz-Mellach,fernitz_mellach,fe,27.2,45.63,96.41
austria_municipalities,Ferschnitz,ferschnitz,fe,51.08,57.1,55.87
