category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Fraham,fraham,fr,33.59,49.04,50.01
austria_municipalities,Frankenau-Unterpullendorf,frankenau_unterpullendorf,fr,45.94,65.64,65.01
austria_municipalities,Frankenburg am Hausruck,frankenburg_am_hausruck,fr,38.03,53.94,52.66
austria_municipalities,Frankenfels,frankenfels,fr,63.21,69.4,65.35
austria_municipalities,Frankenmarkt,frankenmarkt,fr,51.92,63.48,44.99
austria_municipalities,Franking,franking,fr,48.7,56.14,68.48
austria_municipalities,Frantschach-St. Gertraud,frantschach_st_gertraud,fr,49.13,61.86,50.66
austria_municipalities,Frastanz,frastanz,fr,44.83,55.39,77.9
austria_municipalities,Frauenkirchen,frauenkirchen,fr,48.47,64.91,73.13
austria_municipalities,Frauenstein,frauenstein,fr,33.09,48.23,-3.74
austria_municipalities,Frauental an der Laßnitz,frauental_an_der_lassnitz,fr,36.57,52.84,98.24
austria_municipalities,Fraxern,fraxern,fr,32.78,65.26,29.15
austria_municipalities,Freinberg,freinberg,fr,65.47,64.61,60.53
austria_municipalities,Freistadt,freistadt,fr,37.55,64.26,69.36
austria_municipalities,Fresach,fresach,fr,41.98,56.93,48.91
austria_municipalities,Friedberg,friedberg,fr,24.31,52.32,91.42
austria_municipalities,Friesach,friesach,fr,33.31,61.97,-22.25
austria_municipalities,Fritzens,fritzens,fr,38.97,63.3,-28.21
austria_municipalities,Frohnleiten,frohnleiten,fr,53.1,71.59,19.23
