category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Going am Wilden Kaiser,going_am_wilden_kaiser,go,45.2,62.87,93.13
austria_municipalities,Goldegg,goldegg,go,63.21,65.04,41.57
austria_municipalities,Goldwörth,goldworth,go,41.22,62.17,-5.73
austria_municipalities,Golling an der Erlauf,golling_an_der_erlauf,go,35.73,56.99,59.81
austria_municipalities,Golling an der Salzach,golling_an_der_salzach,go,48.75,62.88,27.18
austria_municipalities,Gols,gols,go,29.63,57.69,74.26
austria_municipalities,Gosau,gosau,go,44.02,60.66,80.65
austria_municipalities,Göfis,gofis,go,49.95,69.47,37.69
austria_municipalities,Göllersdorf,gollersdorf,go,54.2,68.05,68.16
austria_municipalities,Göming,goming,go,57.28,64.46,66.91
austria_municipalities,Göpfritz an der Wild,gopfritz_an_der_wild,go,38.33,55.79,71.18
austria_municipalities,Göriach,goriach,go,29.65,74.9,89.84
austria_municipalities,Gössendorf,gossendorf,go,38.81,68.18,92.39
austria_municipalities,Göstling an der Ybbs,gostling_an_der_ybbs,go,62.84,70.43,50.32
austria_municipalities,Göttlesbrunn-Arbesthal,gottlesbrunn_arbesthal,go,43.94,56.82,32.55
austria_municipalities,Götzendorf an der Leitha,gotzendorf_an_der_leitha,go,58.02,76.88,47.02
austria_municipalities,Götzens,gotzens,go,29.64,52.6,92.97
austria_municipalities,Götzis,gotzis,go,34.05,57.38,-43.49
