category,name,slug,prefix,roundness,rectangularity,mobile_fit
austria_municipalities,Traboch,traboch,tr,50.29,51.99,56.86
austria_municipalities,Tragwein,tragwein,tr,38.14,64.08,95.26
austria_municipalities,Tragöß-Sankt Katharein,tragoss_sankt_katharein,tr,27.61,57.19,44.99
austria_municipalities,Traisen,traisen,tr,54.65,67.11,55.65
austria_municipalities,Traiskirchen,traiskirchen,tr,53.02,62.21,65.49
austria_municipalities,Traismauer,traismauer,tr,38.09,48.72,11.29
austria_municipalities,Trattenbach,trattenbach,tr,48.3,59.81,83.21
austria_municipalities,Traun,traun,tr,42.68,86.29,26.28
austria_municipalities,Traunkirchen,traunkirchen,tr,34.83,52.01,-4.7
austria_municipalities,Trausdorf an der Wulka,trausdorf_an_der_wulka,tr,60.93,72.26,68.83
austria_municipalities,Trautmannsdorf an der Leitha,trautmannsdorf_an_der_leitha,tr,54.23,62.34,19.66
austria_municipalities,Trebesing,trebesing,tr,39.88,55.82,52.51
austria_municipalities,Treffen am Ossiacher See,treffen_am_ossiacher_see,tr,37.21,66.37,-22.01
austria_municipalities,Treubach,treubach,tr,44.46,55.67,53.11
austria_municipalities,Trieben,trieben,tr,34.44,50.18,43.28
austria_municipalities,Trins,trins,tr,44.93,57.39,69.11
austria_municipalities,Tristach,tristach,tr,35.55,56.18,97.99
austria_municipalities,Trofaiach,trofaiach,tr,40.9,54.24,24.2
austria_municipalities,Trumau,trumau,tr,50.49,63.23,36.64
