name_clean,name_real
ghissignies,Ghissignies
ghyvelde,Ghyvelde
ghisonaccia,Ghisonaccia
ghisoni,Ghisoni
ghislarengo,Ghislarengo
ghemme,Ghemme
ghiffa,Ghiffa
ghisalba,Ghisalba
ghedi,Ghedi
ghilarza,Ghilarza
ghioroc,Ghioroc
ghimes_faget,Ghimeş-Făget
ghimbav,Ghimbav
gheraseni,Gherăseni
ghergheasa,Ghergheasa
gherla,Gherla
ghindaresti,Ghindăreşti
ghelinta,Ghelinţa
ghidfalau,Ghidfalău
ghercesti,Gherceşti
ghidici,Ghidici
ghindeni,Ghindeni
ghidigeni,Ghidigeni
ghimpati,Ghimpaţi
gheorgheni,Gheorgheni
ghelari,Ghelari
gheorghe_doja,Gheorghe Doja
gheorghe_lazar,Gheorghe Lazăr
ghindari,Ghindari
gheraesti,Gherăeşti
ghindaoani,Ghindăoani
ghimpeteni,Ghimpeţeni
gherghita,Gherghiţa
gherta_mica,Gherţa Mică
ghiroda,Ghiroda
ghizela,Ghizela
ghilad,Ghilad
gherghesti,Ghergheşti
ghioroiu,Ghioroiu
