name_clean,name_real
kruje,Krujë
krensdorf,Krensdorf
krumpendorf_am_worthersee,Krumpendorf am Wörthersee
krems_in_karnten,Krems in Kärnten
krems_an_der_donau,Krems an der Donau
krumau_am_kamp,Krumau am Kamp
krummnussbaum,Krummnußbaum
kreuttal,Kreuttal
kreuzstetten,Kreuzstetten
krumbach,Krumbach
kremsmunster,Kremsmünster
kronstorf,Kronstorf
krenglbach,Krenglbach
krispl,Krispl
krimml,Krimml
kraubath_an_der_mur,Kraubath an der Mur
krakau,Krakau
krottendorf_gaisfeld,Krottendorf-Gaisfeld
krieglach,Krieglach
kramsach,Kramsach
kraainem,Kraainem
kruishoutem,Kruishoutem
kruibeke,Kruibeke
