name_clean,name_real
quaregnon,Quaregnon
quievrain,Quiévrain
quevy,Quévy
quarten,Quarten
quinto,Quinto
quickborn,Quickborn
quarnbek,Quarnbek
quarnstedt,Quarnstedt
querenhorst,Querenhorst
quernheim,Quernheim
quendorf,Quendorf
quakenbruck,Quakenbrück
quiddelbach,Quiddelbach
quirnbach,Quirnbach
quirnheim,Quirnheim
queidersbach,Queidersbach
quirnbach_pfalz,Quirnbach/Pfalz
quierschied,Quierschied
quitzdorf_am_see,Quitzdorf am See
quedlinburg,Quedlinburg
querfurt,Querfurt
quirla,Quirla
quaschwitz,Quaschwitz
quentar,Quéntar
quesada,Quesada
quicena,Quicena
quiros,Quirós
quemada,Quemada
quintanabureba,Quintanabureba
quintana_del_pidio,Quintana del Pidio
quintanaelez,Quintanaélez
quintanaortuno,Quintanaortuño
quintanapalla,Quintanapalla
quintanar_de_la_sierra,Quintanar de la Sierra
quintanavides,Quintanavides
quintanilla_de_la_mata,Quintanilla de la Mata
quintanilla_del_coco,Quintanilla del Coco
quintanillas_las,Quintanillas, Las
quintanilla_san_garcia,Quintanilla San García
quintanilla_vivar,Quintanilla Vivar
quintanilla_tordueles,Quintanilla-Tordueles
quintana_del_castillo,Quintana del Castillo
quintana_del_marco,Quintana del Marco
quintana_y_congosto,Quintana y Congosto
quintana_del_puente,Quintana del Puente
quintanilla_de_onsona,Quintanilla de Onsoña
quintana_redonda,Quintana Redonda
quintanas_de_gormaz,Quintanas de Gormaz
quinoneria,Quiñonería
quintanilla_de_arriba,Quintanilla de Arriba
quintanilla_del_molar,Quintanilla del Molar
quintanilla_de_onesimo,Quintanilla de Onésimo
quintanilla_de_trigueros,Quintanilla de Trigueros
quintanilla_del_monte,Quintanilla del Monte
quintanilla_del_olmo,Quintanilla del Olmo
quintanilla_de_urz,Quintanilla de Urz
quiruelas_de_vidriales,Quiruelas de Vidriales
quintanar_del_rey,Quintanar del Rey
quer,Quer
quero,Quero
quintanar_de_la_orden,Quintanar de la Orden
quismondo,Quismondo
quar_la,Quar, La
queralbs,Queralbs
quart,Quart
querol,Querol
quintana_de_la_serena,Quintana de la Serena
quiroga,Quiroga
quintela_de_leirado,Quintela de Leirado
quijorna,Quijorna
quel,Quel
quatretondeta,Quatretondeta
quart_de_les_valls,Quart de les Valls
quart_de_poblet,Quart de Poblet
quartell,Quartell
quatretonda,Quatretonda
quesa,Quesa
quincy_voisins,Quincy-Voisins
quiers,Quiers
quincy_sous_senart,Quincy-sous-Sénart
quantilly,Quantilly
quincy,Quincy
quiers_sur_bezonde,Quiers-sur-Bézonde
quemigny_poisot,Quemigny-Poisot
quincey,Quincey
quetigny,Quetigny
quemigny_sur_seine,Quemigny-sur-Seine
quincerot,Quincerot
quincy_le_vicomte,Quincy-le-Vicomte
quingey,Quingey
quintigny,Quintigny
quers,Quers
quenoche,Quenoche
quenne,Quenne
quarre_les_tombes,Quarré-les-Tombes
quetteville,Quetteville
quatremare,Quatremare
quillebeuf_sur_seine,Quillebeuf-sur-Seine
quittebeuf,Quittebeuf
quettehou,Quettehou
quineville,Quinéville
quettreville_sur_sienne,Quettreville-sur-Sienne
quibou,Quibou
quiberville,Quiberville
quievrecourt,Quièvrecourt
quevillon,Quevillon
quevreville_la_poterie,Quévreville-la-Poterie
quincampoix,Quincampoix
quierzy,Quierzy
quincy_basse,Quincy-Basse
quincy_sous_le_mont,Quincy-sous-le-Mont
quievelon,Quiévelon
quievy,Quiévy
quaedypre,Quaëdypre
quesnoy_sur_deule,Quesnoy-sur-Deûle
quarouble,Quarouble
querenaing,Quérénaing
quievrechain,Quiévrechain
quincampoix_fleuzy,Quincampoix-Fleuzy
quinquempoix,Quinquempoix
quesmy,Quesmy
queant,Quéant
quiery_la_motte,Quiéry-la-Motte
quoeux_haut_mainil,Quœux-Haut-Maînil
quernes,Quernes
quesques,Quesques
questrecques,Questrecques
quilen,Quilen
quelmes,Quelmes
quercamps,Quercamps
quiestede,Quiestède
quend,Quend
quesnoy_le_montant,Quesnoy-le-Montant
querrieu,Querrieu
quesnoy_sur_airaines,Quesnoy-sur-Airaines
quevauvillers,Quevauvillers
quiry_le_sec,Quiry-le-Sec
quivieres,Quivières
quatre_champs,Quatre-Champs
quilly,Quilly
queudes,Queudes
quevilloncourt,Quevilloncourt
quincy_landzecourt,Quincy-Landzécourt
quatzenheim,Quatzenheim
quelaines_saint_gault,Quelaines-Saint-Gault
quevert,Quévert
quemper_guezennec,Quemper-Guézennec
quemperven,Quemperven
quessoy,Quessoy
quintenic,Quintenic
quintin,Quintin
quemeneven,Quéménéven
querrien,Querrien
quimper,Quimper
quimperle,Quimperlé
quedillac,Quédillac
quebriac,Québriac
queven,Quéven
quiberon,Quiberon
quistinic,Quistinic
questembert,Questembert
queyssac_les_vignes,Queyssac-les-Vignes
queyssac,Queyssac
quinsac,Quinsac
queyrac,Queyrac
queaux,Queaux
quincay,Quinçay
querigut,Quérigut
quie,Quié
quillan,Quillan
quirbajou,Quirbajou
quintillan,Quintillan
quins,Quins
quissac,Quissac
quint_fonsegrives,Quint-Fonsegrives
quarante,Quarante
quinssaines,Quinssaines
quintenas,Quintenas
quezac,Quézac
quaix_en_chartreuse,Quaix-en-Chartreuse
