name_clean,name_real
rauchwart,Rauchwart
raiding,Raiding
radenthein,Radenthein
rangersdorf,Rangersdorf
rauchenwarth,Rauchenwarth
raasdorf,Raasdorf
ravelsbach,Ravelsbach
rastenfeld,Rastenfeld
ramsau,Ramsau
raxendorf,Raxendorf
rabensburg,Rabensburg
raach_am_hochgebirge,Raach am Hochgebirge
rabenstein_an_der_pielach,Rabenstein an der Pielach
randegg,Randegg
raabs_an_der_thaya,Raabs an der Thaya
rappottenstein,Rappottenstein
rainbach_im_muhlkreis,Rainbach im Mühlkreis
raab,Raab
rainbach_im_innkreis,Rainbach im Innkreis
radstadt,Radstadt
ramingstein,Ramingstein
rauris,Rauris
raaba_grambach,Raaba-Grambach
ragnitz,Ragnitz
radmer,Radmer
ramsau_am_dachstein,Ramsau am Dachstein
ranten,Ranten
ratten,Ratten
ranggen,Ranggen
radfeld,Radfeld
rattenberg,Rattenberg
ramsau_im_zillertal,Ramsau im Zillertal
raggal,Raggal
rankweil,Rankweil
ranst,Ranst
ravels,Ravels
ramillies,Ramillies
raeren,Raeren
rafz,Rafz
radelfingen,Radelfingen
rapperswil_be,Rapperswil (BE)
rain,Rain
ramlinsburg,Ramlinsburg
ramsen,Ramsen
rapperswil_jona,Rapperswil-Jona
raperswilen,Raperswilen
rances,Rances
raron,Raron
randa,Randa
rabyne,Rabyně
radosovice,Radošovice
rataje,Rataje
ratmerice,Ratměřice
radim,Radim
radovesnice_i,Radovesnice I
radovesnice_ii,Radovesnice II
ratbor,Ratboř
ratenice,Ratenice
rasovice,Rašovice
rataje_nad_sazavou,Rataje nad Sázavou
rabakov,Rabakov
radejovice,Radějovice
radonice,Radonice
radetice,Radětice
radic,Radíč
rakovnik,Rakovník
racice,Račice
ratibor,Ratiboř
rapsach,Rapšach
razice,Ražice
rakovice,Rakovice
radhostice,Radhostice
radomysl,Radomyšl
radenin,Radenín
radimovice_u_zelce,Radimovice u Želče
radkov,Radkov
ratiborske_hory,Ratibořské Hory
radimovice_u_tabora,Radimovice u Tábora
rabi,Rabí
radkovice,Radkovice
radnice,Radnice
rakova,Raková
racetice,Račetice
racineves,Račiněves
radovesice,Radovesice
rana,Raná
radvanec,Radvanec
ralsko,Ralsko
radcice,Radčice
radimovice,Radimovice
raspenava,Raspenava
radostna_pod_kozakovem,Radostná pod Kozákovem
rakousy,Rakousy
racice_nad_trotinou,Račice nad Trotinou
radikovice,Radíkovice
radostov,Radostov
rasin,Rašín
rasosky,Rasošky
radvanice,Radvanice
rabstejnska_lhota,Rabštejnská Lhota
radimer,Radiměř
radhost,Radhošť
radostin,Radostín
rancirov,Rančířov
rantirov,Rantířov
radotice,Radotice
radkovice_u_budce,Radkovice u Budče
radkovice_u_hrotovic,Radkovice u Hrotovic
radonin,Radonín
radosov,Radošov
rapotice,Rapotice
racin,Račín
radenice,Radenice
radesin,Radešín
radesinska_svratka,Radešínská Svratka
radnoves,Radňoves
radnovice,Radňovice
radostin_nad_oslavou,Radostín nad Oslavou
rasov,Rašov
radostice,Radostice
rajhrad,Rajhrad
rajhradice,Rajhradice
rakvice,Rakvice
radejov,Radějov
ratiskovice,Ratíškovice
racice_pistovice,Račice-Pístovice
radslavice,Radslavice
rakova_u_konice,Raková u Konice
rakuvka,Rakůvka
radikov,Radíkov
radkova_lhota,Radkova Lhota
radkovy,Radkovy
radotin,Radotín
rakov,Rakov
rapotin,Rapotín
rajnochovice,Rajnochovice
rackova,Racková
razova,Razová
raskovice,Raškovice
radun,Raduň
ramhusen,Ramhusen
ratzeburg,Ratzeburg
ramstedt,Ramstedt
rantrum,Rantrum
ratekau,Ratekau
raa_besenbek,Raa-Besenbek
rantzau,Rantzau
rathjensdorf,Rathjensdorf
rastorf,Rastorf
rade_b_rendsburg,Rade b. Rendsburg
rade_b_hohenwestedt,Rade b. Hohenwestedt
rabenkirchen_fauluck,Rabenkirchen-Faulück
rabel,Rabel
rabenholz,Rabenholz
rade,Rade
rausdorf,Rausdorf
raddestorf,Raddestorf
radbruch,Radbruch
rastede,Rastede
rastdorf,Rastdorf
ratingen,Ratingen
radevormwald,Radevormwald
raesfeld,Raesfeld
rahden,Rahden
raunheim,Raunheim
ranstadt,Ranstadt
rabenau,Rabenau
rauschenberg,Rauschenberg
rasdorf,Rasdorf
racksen,Racksen
raumbach,Raumbach
ratzert,Ratzert
