name_clean,name_real
smilkov,Smilkov
smecno,Smečno
smilovice,Smilovice
smolotely,Smolotely
smrzov,Smržov
smetanova_lhota,Smetanova Lhota
smilovy_hory,Smilovy Hory
smedcice,Smědčice
smolne_pece,Smolné Pece
smolnice,Smolnice
smrzovka,Smržovka
smidary,Smidary
smirice,Smiřice
smrcek,Smrček
smrcna,Smrčná
smrk,Smrk
smrzice,Smržice
smollerup,Smollerup
smidstrup,Smidstrup
smorum,Smørum
smerup,Smerup
smermesnil,Smermesnil
smarves,Smarves
smokvica,Smokvica
smithstown,Smithstown
smerillo,Smerillo
smilgiai,Smilgiai
smalininkai,Smalininkai
smardes,Smārdes
smiltene,Smiltene
smiltenes,Smiltenes
smallingerland,Smallingerland
smola,Smøla
smoldzino,Smołdzino
smetowo_graniczne,Smętowo Graniczne
smykow,Smyków
smeeni,Smeeni
smardan,Smârdan
smulti,Smulţi
smardioasa,Smârdioasa
smederevska_palanka,Smederevska Palanka
smederevo,Smederevo
smedjebacken,Smedjebacken
smolnik,Smolnik
smoldno,Smoldno
smrje,Smrje
smrecje_v_crni,Smrečje v Črni
smast,Smast
smuka,Smuka
smecice,Smečice
smednik,Smednik
smlednik,Smlednik
smolenja_vas,Smolenja vas
smrecno,Smrečno
smrjene,Smrjene
smrecje,Smrečje
smoleva,Smoleva
smolinci,Smolinci
smokuc,Smokuč
smolinske,Smolinské
smrdaky,Smrdáky
smolenice,Smolenice
smrecany,Smrečany
smilno,Smilno
smolnicka_huta,Smolnícka Huta
smizany,Smižany
smithills,Smithills
smallbridge_and_firgrove,Smallbridge and Firgrove
smethwick,Smethwick
smiths_wood,Smith's Wood
smithfield,Smithfield
