name_clean,name_real
sonntagberg,Sonntagberg
sooss,Sooß
sommerein,Sommerein
sollenau,Sollenau
sonnberg_im_muhlkreis,Sonnberg im Mühlkreis
sonntag,Sonntag
soignies,Soignies
soumagne,Soumagne
somme_leuze,Somme-Leuze
sombreffe,Sombreffe
sonceboz_sombeval,Sonceboz-Sombeval
sonvilier,Sonvilier
sorvilier,Sorvilier
sorens,Sorens
solothurn,Solothurn
soazza,Soazza
sommeri,Sommeri
sonogno,Sonogno
sorengo,Sorengo
soral,Soral
soyhieres,Soyhières
soubey,Soubey
sobehrdy,Soběhrdy
soutice,Soutice
sounov,Souňov
sobesin,Soběšín
sojovice,Sojovice
sovinky,Sovínky
sokolec,Sokoleč
solenice,Solenice
sobenov,Soběnov
sousedovice,Sousedovice
sobeslav,Soběslav
sobesice,Soběšice
sobekury,Soběkury
sokolov,Sokolov
sosnova,Sosnová
sobeslavice,Soběslavice
sovetice,Sovětice
soberaz,Soběraz
sobcice,Sobčice
sobotka,Sobotka
solnice,Solnice
sobetuchy,Sobětuchy
sovolusky,Sovolusky
soprec,Sopřeč
sobkovice,Sobkovice
sopotnice,Sopotnice
sobinov,Sobíňov
sobotovice,Sobotovice
sokolnice,Sokolnice
sobulky,Sobůlky
sobisky,Sobíšky
sobechleby,Soběchleby
sobotin,Sobotín
sobesuky,Soběsuky
sobesovice,Soběšovice
sollwitt,Sollwitt
sophienhamm,Sophienhamm
sollerup,Sollerup
sommerland,Sommerland
solling_landkreis_northeim,Solling (Landkreis Northeim)
soderstorf,Soderstorf
sottrum,Sottrum
soltau,Soltau
soltendieck,Soltendieck
solingen,Solingen
sonsbeck,Sonsbeck
soest,Soest
solms,Solms
sontra,Sontra
sommerloch,Sommerloch
sonnenberg_winnenberg,Sonnenberg-Winnenberg
sonnschied,Sonnschied
sosberg,Sosberg
sohren,Sohren
sohrschied,Sohrschied
sommerau,Sommerau
sontheim_an_der_brenz,Sontheim an der Brenz
sonnenbuhl,Sonnenbühl
soyen,Soyen
sonnen,Sonnen
sonnefeld,Sonnefeld
soos,Soos
solnhofen,Solnhofen
sommerkahl,Sommerkahl
sondheim_v_d_rhon,Sondheim v.d. Rhön
sommerach,Sommerach
sonderhofen,Sonderhofen
sommerhausen,Sommerhausen
sontheim,Sontheim
sonthofen,Sonthofen
sonnewalde,Sonnewalde
sonnenberg,Sonnenberg
sommersdorf,Sommersdorf
sohland_a_d_spree,Sohland a.d. Spree
sonnenstein,Sonnenstein
sollstedt,Sollstedt
sondershausen,Sondershausen
sonneborn,Sonneborn
sonneberg,Sonneberg
solkwitz,Solkwitz
solbjerg,Solbjerg
sommersted,Sommersted
sottrup,Sottrup
solvang,Solvang
sorgenfri,Sorgenfri
solrod,Solrød
soderup,Soderup
sorterup,Sorterup
soro,Sorø
sonda,Sonda
somontin,Somontín
sorbas,Sorbas
soportujar,Soportújar
sorvilan,Sorvilán
sorihuela_del_guadalimar,Sorihuela del Guadalimar
sopeira,Sopeira
sotonera_la,Sotonera, La
sobradiel,Sobradiel
sos_del_rey_catolico,Sos del Rey Católico
sobrescobio,Sobrescobio
somiedo,Somiedo
soto_del_barco,Soto del Barco
son_servera,Son Servera
soba,Soba
solorzano,Solórzano
solana_de_avila,Solana de Avila
solana_de_rioalmar,Solana de Rioalmar
solosancho,Solosancho
sotalbo,Sotalbo
sotillo_de_la_adrada,Sotillo de la Adrada
solarana,Solarana
sordillos,Sordillos
sotillo_de_la_ribera,Sotillo de la Ribera
sotragero,Sotragero
sotresgudo,Sotresgudo
sobrado,Sobrado
soto_de_la_vega,Soto de la Vega
soto_y_amio,Soto y Amío
sotobanado_y_priorato,Sotobañado y Priorato
soto_de_cerrato,Soto de Cerrato
sobradillo,Sobradillo
sorihuela,Sorihuela
sotoserrano,Sotoserrano
sotillo,Sotillo
sotosalbos,Sotosalbos
soliedra,Soliedra
soria,Soria
sotillo_del_rincon,Sotillo del Rincón
socovos,Socovos
socuellamos,Socuéllamos
solana_la,Solana, La
solana_del_pino,Solana del Pino
solera_de_gabaldon,Solera de Gabaldón
sotorribas,Sotorribas
solanillos_del_extremo,Solanillos del Extremo
somolinos,Somolinos
sotillo_el,Sotillo, El
sotodosos,Sotodosos
sonseca,Sonseca
sotillo_de_las_palomas,Sotillo de las Palomas
sobremunt,Sobremunt
sora,Sora
soleras_el,Soleràs, El
solsona,Solsona
soriguera,Soriguera
sort,Sort
soses,Soses
solivella,Solivella
solana_de_los_barros,Solana de los Barros
somozas_as,Somozas, As
sober,Sober
soutomaior,Soutomaior
somosierra,Somosierra
soto_del_real,Soto del Real
sorlada,Sorlada
soraluze_placencia_de_las_armas,Soraluze/Placencia de las Armas
sopelana,Sopelana
sopuerta,Sopuerta
sondika,Sondika
sojuela,Sojuela
sorzano,Sorzano
sotes,Sotés
soto_en_cameros,Soto en Cameros
soneja,Soneja
sot_de_ferrer,Sot de Ferrer
sollana,Sollana
sot_de_chera,Sot de Chera
somero,Somero
sonkajarvi,Sonkajärvi
soini,Soini
sotkamo,Sotkamo
sodankyla,Sodankylä
sottunga,Sottunga
soignolles_en_brie,Soignolles-en-Brie
solers,Solers
sognolles_en_montois,Sognolles-en-Montois
soisy_bouy,Soisy-Bouy
sourdun,Sourdun
souppes_sur_loing,Souppes-sur-Loing
soindres,Soindres
sonchamp,Sonchamp
souzy_la_briche,Souzy-la-Briche
soisy_sur_ecole,Soisy-sur-École
soisy_sur_seine,Soisy-sur-Seine
soisy_sous_montmorency,Soisy-sous-Montmorency
soulangis,Soulangis
soye_en_septaine,Soye-en-Septaine
soulaires,Soulaires
sours,Sours
sorel_moussel,Sorel-Moussel
soize,Soizé
souance_au_perche,Souancé-au-Perche
souge,Sougé
sonzay,Sonzay
souvigne,Souvigné
sorigny,Sorigny
souvigny_de_touraine,Souvigny-de-Touraine
souday,Souday
soings_en_sologne,Soings-en-Sologne
souesmes,Souesmes
souvigny_en_sologne,Souvigny-en-Sologne
solterre,Solterre
sougy,Sougy
soirans,Soirans
soissons_sur_nacey,Soissons-sur-Nacey
sombernon,Sombernon
source_seine,Source-Seine
souhey,Souhey
soussey_sur_brionne,Soussey-sur-Brionne
sochaux,Sochaux
solemont,Solemont
soulce_cernay,Soulce-Cernay
sourans,Sourans
soye,Soye
sombacour,Sombacour
souvans,Souvans
songeson,Songeson
soucia,Soucia
sougy_sur_loire,Sougy-sur-Loire
soing_cubry_charentenay,Soing-Cubry-Charentenay
sorans_les_breurey,Sorans-lès-Breurey
sornay,Sornay
sommant,Sommant
sologny,Sologny
solutre_pouilly,Solutré-Pouilly
sommecaise,Sommecaise
sormery,Sormery
sougeres_en_puisaye,Sougères-en-Puisaye
soumaintrain,Soumaintrain
soucy,Soucy
sommervieu,Sommervieu
soignolles,Soignolles
soliers,Soliers
soulangy,Soulangy
soumont_saint_quentin,Soumont-Saint-Quentin
souleuvre_en_bocage,Souleuvre en Bocage
sourdeval,Sourdeval
sortosville_en_beaumont,Sortosville-en-Beaumont
sortosville,Sortosville
sottevast,Sottevast
sotteville,Sotteville
sourdeval_les_bois,Sourdeval-les-Bois
soulles,Soulles
soligny_la_trappe,Soligny-la-Trappe
sommery,Sommery
sommesnil,Sommesnil
sotteville_sur_mer,Sotteville-sur-Mer
sorquainville,Sorquainville
sotteville_les_rouen,Sotteville-lès-Rouen
