name_clean,name_real
steinbrunn,Steinbrunn
stotzing,Stotzing
stegersbach,Stegersbach
stinatz,Stinatz
strem,Strem
steinberg_dorfl,Steinberg-Dörfl
stoob,Stoob
stadtschlaining,Stadtschlaining
strassburg,Straßburg
stall,Stall
steinfeld,Steinfeld
stockenboi,Stockenboi
steindorf_am_ossiacher_see,Steindorf am Ossiacher See
steuerberg,Steuerberg
strengberg,Strengberg
strasshof_an_der_nordbahn,Strasshof an der Nordbahn
straning_grafenberg,Straning-Grafenberg
stetteldorf_am_wagram,Stetteldorf am Wagram
stetten,Stetten
stockerau,Stockerau
strass_im_strassertale,Straß im Straßertale
stratzing,Stratzing
staatz,Staatz
stronsdorf,Stronsdorf
statzendorf,Statzendorf
stossing,Stössing
steinakirchen_am_forst,Steinakirchen am Forst
steyr,Steyr
stroheim,Stroheim
steegen,Steegen
steinbach_am_ziehberg,Steinbach am Ziehberg
steinbach_an_der_steyr,Steinbach an der Steyr
steyregg,Steyregg
steinbach_am_attersee,Steinbach am Attersee
strass_im_attergau,Straß im Attergau
stadl_paura,Stadl-Paura
steinerkirchen_an_der_traun,Steinerkirchen an der Traun
steinhaus,Steinhaus
strasswalchen,Straßwalchen
strobl,Strobl
stuhlfelden,Stuhlfelden
stainz,Stainz
stattegg,Stattegg
stiwoll,Stiwoll
strass_in_steiermark,Straß in Steiermark
stainach_purgg,Stainach-Pürgg
stadl_predlitz,Stadl-Predlitz
stallhofen,Stallhofen
strallegg,Strallegg
stanz_im_murztal,Stanz im Mürztal
stubenberg,Stubenberg
straden,Straden
stams,Stams
steinach_am_brenner,Steinach am Brenner
stanz_bei_landeck,Stanz bei Landeck
strengen,Strengen
strassen,Strassen
stanzach,Stanzach
steeg,Steeg
stans,Stans
steinberg_am_rofan,Steinberg am Rofan
strass_im_zillertal,Strass im Zillertal
stumm,Stumm
stummerberg,Stummerberg
stallehr,Stallehr
stabroek,Stabroek
steenokkerzeel,Steenokkerzeel
staden,Staden
stekene,Stekene
stavelot,Stavelot
stoumont,Stoumont
stallikon,Stallikon
stadel,Stadel
steinmaur,Steinmaur
stafa,Stäfa
studen_be,Studen (BE)
stettlen,Stettlen
stocken_hofen,Stocken-Höfen
steffisburg,Steffisburg
st_stephan,St. Stephan
steinen,Steinen
steinerberg,Steinerberg
stansstad,Stansstad
steinhausen,Steinhausen
staatswald_galm,Staatswald Galm
st_antoni,St. Antoni
st_silvester,St. Silvester
st_ursen,St. Ursen
stusslingen,Stüsslingen
starrkirch_wil,Starrkirch-Wil
stetten_sh,Stetten (SH)
stein_am_rhein,Stein am Rhein
stein_ar,Stein (AR)
st_gallen,St. Gallen
steinach,Steinach
st_margrethen,St. Margrethen
st_moritz,St. Moritz
stetten_ag,Stetten (AG)
staufen,Staufen
stein_ag,Stein (AG)
staffelbach,Staffelbach
strengelbach,Strengelbach
stettfurt,Stettfurt
steckborn,Steckborn
stabio,Stabio
steg_hohtenn,Steg-Hohtenn
st_niklaus,St. Niklaus
stalden_vs,Stalden (VS)
staldenried,Staldenried
struharov,Struhařov
strezimir,Střezimíř
studeny,Studený
strojetice,Strojetice
stranny,Stranný
stasov,Stašov
stehelceves,Stehelčeves
stochov,Stochov
studeneves,Studeněves
stradonice,Stradonice
stary_kolin,Starý Kolín
starkoc,Starkoč
stankovice,Staňkovice
stranka,Stránka
stremy,Střemy
strasnov,Strašnov
strenice,Strenice
straziste,Strážiště
stary_vestec,Starý Vestec
stara_lysa,Stará Lysá
straky,Straky
stratov,Stratov
stribrna_skalice,Stříbrná Skalice
strancice,Strančice
statenice,Statenice
stredokluky,Středokluky
stara_hut,Stará Huť
starosedlsky_hradek,Starosedlský Hrádek
strycice,Strýčice
stare_hodejovice,Staré Hodějovice
strazkovice,Strážkovice
strizov,Střížov
stritez,Střítež
strizovice,Střížovice
stare_hobzi,Staré Hobzí
stare_mesto_pod_landstejnem,Staré Město pod Landštejnem
straz_nad_nezarkou,Stráž nad Nežárkou
strmilov,Strmilov
stribrec,Stříbřec
studena,Studená
stankov,Staňkov
stehlovice,Stehlovice
stachy,Stachy
stozec,Stožec
strazny,Strážný
strunkovice_nad_blanici,Strunkovice nad Blanicí
stozice,Stožice
strunkovice_nad_volynkou,Strunkovice nad Volyňkou
strakonice,Strakonice
strasice,Strašice
strelske_hostice,Střelské Hoštice
stadlec,Stádlec
straz,Stráž
strasin,Strašín
strazov,Strážov
stary_plzenec,Starý Plzenec
strelice,Střelice
stod,Stod
stare_sedliste,Staré Sedliště
stare_sedlo,Staré Sedlo
stribro,Stříbro
studanka,Studánka
stara_voda,Stará Voda
stanovice,Stanovice
straz_nad_ohri,Stráž nad Ohří
struzna,Stružná
stribrna,Stříbrná
stary_sachov,Starý Šachov
stare_krecany,Staré Křečany
strupcice,Strupčice
straskov_vodochody,Straškov-Vodochody
stebno,Stebno
straz_pod_ralskem,Stráž pod Ralskem
struznice,Stružnice
stvolinky,Stvolínky
straz_nad_nisou,Stráž nad Nisou
struzinec,Stružinec
studenec,Studenec
stezery,Stěžery
stracov,Stračov
strezetice,Střezetice
stary_bydzov,Starý Bydžov
stare_hrady,Staré Hrady
stare_misto,Staré Místo
stara_paka,Stará Paka
stare_smrkovice,Staré Smrkovice
strevac,Střevač
starkov,Stárkov
studnice,Studnice
stare_buky,Staré Buky
strazne,Strážné
stolany,Stolany
stremosice,Střemošice
steblova,Stéblová
stare_hradiste,Staré Hradiště
stare_jesencany,Staré Jesenčany
stare_zdanice,Staré Ždánice
stary_materov,Starý Mateřov
stojice,Stojice
strasov,Strašov
stare_mesto,Staré Město
strakov,Strakov
stradoun,Stradouň
strazna,Strážná
studene,Studené
stribrne_hory,Stříbrné Hory
staj,Stáj
