name_clean,name_real
vau_i_dejes,Vau i dejës
vasoldsberg,Vasoldsberg
vals,Vals
vandans,Vandans
vaux_sur_sure,Vaux-sur-Sûre
valbirse,Valbirse
vallon,Vallon
vaulruz,Vaulruz
val_de_charmey,Val-de-Charmey
vaz_obervaz,Vaz-Obervaz
valsot,Valsot
val_mustair,Val Müstair
vacallo,Vacallo
valbroye,Valbroye
valeyres_sous_rances,Valeyres-sous-Rances
vallorbe,Vallorbe
vaulion,Vaulion
valeyres_sous_montagny,Valeyres-sous-Montagny
valeyres_sous_ursins,Valeyres-sous-Ursins
vaux_sur_morges,Vaux-sur-Morges
varen,Varen
val_d_illiez,Val-d'Illiez
vaumarcus,Vaumarcus
valangin,Valangin
val_de_ruz,Val-de-Ruz
val_de_travers,Val-de-Travers
vandoeuvres,Vandoeuvres
val_terbi,Val Terbi
vavrinec,Vavřinec
varvazov,Varvažov
vacov,Vacov
vacovice,Vacovice
val,Val
valy,Valy
valec,Valeč
valkerice,Valkeřice
varnsdorf,Varnsdorf
valdice,Valdice
vamberk,Vamberk
vanov,Vanov
vanuvek,Vanůvek
valdikov,Valdíkov
vatin,Vatín
valchov,Valchov
vanovice,Vanovice
valtice,Valtice
vacenovice,Vacenovice
valtrovice,Valtrovice
valasska_bystrice,Valašská Bystřice
valasska_polanka,Valašská Polanka
valasske_mezirici,Valašské Meziříčí
valasske_prikazy,Valašské Příkazy
valasska_senice,Valašská Senice
valasske_klobouky,Valašské Klobouky
valsov,Valšov
vaale,Vaale
vaalermoor,Vaalermoor
vahlberg,Vahlberg
varrel,Varrel
vahlbruch,Vahlbruch
vastorf,Vastorf
vahlde,Vahlde
varel,Varel
valwig,Valwig
vallendar,Vallendar
vaihingen_an_der_enz,Vaihingen an der Enz
vaterstetten,Vaterstetten
valley,Valley
vachendorf,Vachendorf
varchentin,Varchentin
vacha,Vacha
vachdorf,Vachdorf
vang,Vang
valsgard,Valsgård
vadum,Vadum
vandborg,Vandborg
vammen,Vammen
vantinge,Vantinge
varde,Varde
varnaes,Varnæs
vamdrup,Vamdrup
valby,Valby
vanlose,Vanløse
valby_sondre,Valby Søndre
vangede,Vangede
vallensbaek,Vallensbæk
vallekilde,Vallekilde
valsolille,Valsølille
varpelev,Varpelev
valloby,Valløby
vallensved,Vallensved
vantore,Vantore
vasalemma,Vasalemma
vaivara,Vaivara
valgjarve,Valgjärve
vastse_kuuste,Vastse-Kuuste
varbla,Varbla
valjala,Valjala
vara,Vara
valga,Valga
varstu,Varstu
vastseliina,Vastseliina
valenzuela,Valenzuela
valsequillo,Valsequillo
valle_el,Valle, El
valle_del_zalabi,Valle del Zalabí
valderrubio,Valderrubio
valdelarco,Valdelarco
valverde_del_camino,Valverde del Camino
valdepenas_de_jaen,Valdepeñas de Jaén
valle_de_abdalajis,Valle de Abdalajís
valencina_de_la_concepcion,Valencina de la Concepción
valfarta,Valfarta
valle_de_bardaji,Valle de Bardají
valle_de_lierp,Valle de Lierp
valle_de_hecho,Valle de Hecho
valacloche,Valacloche
valbona,Valbona
valdealgorfa,Valdealgorfa
valdecuenca,Valdecuenca
valdelinares,Valdelinares
valdeltormo,Valdeltormo
valderrobres,Valderrobres
valjunquera,Valjunquera
vallecillo_el,Vallecillo, El
valdehorna,Valdehorna
val_de_san_martin,Val de San Martín
valmadrid,Valmadrid
valpalmas,Valpalmas
valtorres,Valtorres
valdes,Valdés
valldemosa,Valldemosa
valsequillo_de_gran_canaria,Valsequillo de Gran Canaria
valleseco,Valleseco
valverde,Valverde
valle_gran_rey,Valle Gran Rey
vallehermoso,Vallehermoso
valdaliga,Valdáliga
valdeolea,Valdeolea
valdeprado_del_rio,Valdeprado del Río
valderredible,Valderredible
val_de_san_vicente,Val de San Vicente
