name_clean,name_real
sanov,Šanov
sabina,Šabina
saplava,Šaplava
sakvice,Šakvice
sardice,Šardice
saratice,Šaratice
safov,Šafov
satov,Šatov
sarovy,Šarovy
sandrovac,Šandrovac
sanciai,Šančiai
sates,Šatės
sakiai,Šakiai
saukenai,Šaukėnai
saukotas,Šaukotas
sakyna,Šakyna
sateikiai,Šateikiai
satrininkai,Šatrininkai
salcininkai,Šalčininkai
sabac,Šabac
salovci,Šalovci
savna_pec,Šavna Peč
sared,Šared
salka_vas,Šalka vas
salara,Šalara
salinci,Šalinci
sardinje,Šardinje
salamenci,Šalamenci
sahovec,Šahovec
safarsko,Šafarsko
samorin,Šamorín
salgocka,Šalgočka
sajdikove_humence,Šajdíkove Humence
sastin_straze,Šaštín-Stráže
sahy,Šahy
salov,Šalov
sarovce,Šarovce
sarkan,Šarkan
sala,Šaľa
salgovce,Šalgovce
sarisske_cierne,Šarišské Čierne
sasova,Šašová
sarisska_poruba,Šarišská Poruba
sarisska_trstena,Šarišská Trstená
sarisske_bohdanovce,Šarišské Bohdanovce
sarisske_dravce,Šarišské Dravce
sarisske_michalany,Šarišské Michaľany
sarisske_sokolovce,Šarišské Sokolovce
sambron,Šambron
sarisske_jastrabie,Šarišské Jastrabie
sandal,Šandal
sarbov,Šarbov
sarissky_stiavnik,Šarišský Štiavnik
samudovce,Šamudovce
