name_clean,name_real
setejovice,Šetějovice
sebestenice,Šebestěnice
sestajovice,Šestajovice
sevetin,Ševětín
sebirov,Šebířov
semnice,Šemnice
sedivec,Šedivec
sebkovice,Šebkovice
sebetov,Šebetov
sebrov_katerina,Šebrov-Kateřina
serkovice,Šerkovice
selesovice,Šelešovice
senov_u_noveho_jicina,Šenov u Nového Jičína
senov,Šenov
sestanovac,Šestanovac
senkovec,Šenkovec
sestokai,Šeštokai
seimena,Šeimena
seduva,Šeduva
serksnenai,Šerkšnėnai
seskine,Šeškinė
sesuoliai,Šešuoliai
sentjungert,Šentjungert
senturska_gora,Šenturška Gora
sebrelje,Šebrelje
sentjost_nad_horjulom,Šentjošt nad Horjulom
sentpavel_pri_domzalah,Šentpavel pri Domžalah
sentjanz_pri_dravogradu,Šentjanž pri Dravogradu
sembije,Šembije
sentjurje,Šentjurje
sentpavel_na_dolenjskem,Šentpavel na Dolenjskem
sentvid_pri_sticni,Šentvid pri Stični
seki,Šeki
sedem,Šedem
sentrupert,Šentrupert
setarova,Šetarova
sentpavel,Šentpavel
segova_vas,Šegova vas
sentozbolt,Šentožbolt
sentvid_pri_lukovici,Šentvid pri Lukovici
sentilj_pod_turjakom,Šentilj pod Turjakom
sempas,Šempas
sentjost,Šentjošt
sestdobe,Šestdobe
sentjanz,Šentjanž
sentjur_na_polju,Šentjur na Polju
sepulje,Šepulje
sentovec,Šentovec
sencur,Šenčur
sentilj_v_slov_goricah,Šentilj v Slov. goricah
sentjakob,Šentjakob
sentjernej,Šentjernej
sedina,Šedina
sentjur,Šentjur
sentvid_pri_planini,Šentvid pri Planini
sevlje,Ševlje
sentvid_pri_grobelnem,Šentvid pri Grobelnem
serovo,Šerovo
sentvid_pri_zavodnju,Šentvid pri Zavodnju
sentjanz_nad_storami,Šentjanž nad Štorami
sentviska_gora,Šentviška Gora
sentlovrenc,Šentlovrenc
senbric,Šenbric
sentjanz_nad_dravcami,Šentjanž nad Dravčami
semnik,Šemnik
sentgotard,Šentgotard
sentlambert,Šentlambert
sentjurij_na_dolenjskem,Šentjurij na Dolenjskem
sesce_pri_preboldu,Šešče pri Preboldu
sentanel,Šentanel
sempeter_pri_gorici,Šempeter pri Gorici
sempeter_v_savinj_dolini,Šempeter v Savinj. dolini
sevnica,Ševnica
senkvice,Šenkvice
selpice,Šelpice
semetkovce,Šemetkovce
semsa,Šemša
