name_clean,name_real
konstantinovo,Константиново
kozare,Козаре
kondolovo,Кондолово
kosti,Кости
koznica,Козница
kosarica,Кошарица
kozicino,Козичино
kosovec,Косовец
kosten,Костен
kornica,Корница
kovacevica,Ковачевица
kolarovo,Коларово
kovacevo,Ковачево
kocan,Кочан
kolibite,Колибите
koprivlen,Копривлен
konarsko,Конарско
konare,Конаре
kozlodujci,Козлодуйци
kotlenci,Котленци
koriten,Коритен
kolarci,Коларци
kocmar,Кочмар
kozi_rog,Кози рог
kopceliite,Копчелиите
kosarka,Косарка
kormansko,Кормянско
kobilino,Кобилино
kondovo,Кондово
konnici,Конници
kostilkovo,Костилково
kolec,Колец
kostur,Костур
kozlec,Козлец
konus,Конуш
koren,Корен
kozarevo,Козарево
konevec,Коневец
korkina,Коркина
kocerinovo,Кочериново
konavo,Коняво
kopilovci,Копиловци
kopriva,Коприва
kosovo,Косово
kozica,Козица
kontil,Контил
kozlevo,Козлево
kovil,Ковил
kozuharci,Кожухарци
kotlari,Котлари
kobilane,Кобиляне
kokice,Кокиче
kokosane,Кокошане
konevo,Конево
kostino,Костино
