name_clean,name_real
rosenovo,Росеново
rozden,Рожден
rosen,Росен
rozen,Рожен
rogacevo,Рогачево
rogozina,Рогозина
rosica,Росица
rozino,Розино
rogozinovo,Рогозиново
rodopi,Родопи
robovo,Робово
roza,Роза
rodopsko,Родопско
rogozari,Рогозари
rogozce,Рогозче
rozdensko,Рожденско
rogac,Рогач
rozovo,Розово
rohleva,Рохлева
rozovec,Розовец
rogos,Рогош
rosoman,Росоман
ropot,Ропот
rosina,Росина
roak,Рояк
roman,Роман
rogozen,Рогозен
rodina,Родина
rosno,Росно
rotino,Ротино
ropotovo,Ропотово
rogle,Рогле
rosoki,Росоки
rostusa,Ростуша
romanovce,Романовце
ropalce,Ропалце
