name_clean,name_real
san_stefano,Сан-Стефано
sadovo,Садово
samuilovo,Самуилово
sandanski,Сандански
satovca,Сатовча
sakarci,Сакарци
saransko,Саранско
savino,Савино
savojski,Савойски
sazdenik,Сажденик
sapareva_bana,Сапарева баня
saparevo,Сапарево
samoranovo,Самораново
samodiva,Самодива
samokitka,Самокитка
samovila,Самовила
sadovica,Садовица
saraa,Сарая
sadovik,Садовик
sadovec,Садовец
sanadinovo,Санадиново
savin,Савин
samuil,Самуил
sandrovo,Сандрово
saranci,Саранци
samokov,Самоков
salmanovo,Салманово
sadina,Садина
samotino,Самотино
sava,Сава
salas,Салаш
saraevo,Сараево
samovodene,Самоводене
saramzalino,Сарамзалино
sasa,Саса
sarcievo,Сарчиево
saraj,Сарај
samoilovo,Самоилово
sarigol,Сариѓол
sacevo,Сачево
sarandinovo,Сарандиново
sazdevo,Саждево
sarakino,Сараќино
