category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,"Ibbenbüren, Stadt",ibbenburen_stadt,ib,37.6,46.01,57.33
europe_lau,Ibach,ibach,ib,56.77,59.98,58.92
europe_lau,Ibarrangelu,ibarrangelu,ib,41.43,63.73,14.84
europe_lau,Ibi,ibi,ib,65.48,79.6,14.14
europe_lau,Ibahernando,ibahernando,ib,28.91,57.56,86.73
europe_lau,Ibeas de Juarros,ibeas_de_juarros,ib,33.65,44.13,15.61
europe_lau,Ibrillos,ibrillos,ib,59.94,61.52,52.13
europe_lau,Ibdes,ibdes,ib,44.23,54.1,61.49
europe_lau,Ibieca,ibieca,ib,38.22,69.56,96.71
europe_lau,Ibargoiti,ibargoiti,ib,37.94,59.42,-21.31
europe_lau,Ibros,ibros,ib,56.07,59.3,64.42
europe_lau,Ibarra,ibarra,ib,18.12,46.63,48.16
europe_lau,Ibias,ibias,ib,43.67,60.74,44.46
europe_lau,Ibigny,ibigny,ib,30.31,49.04,96.53
europe_lau,Ibarrolle,ibarrolle,ib,50.97,63.12,85.11
europe_lau,Ibos,ibos,ib,48.51,63.97,60.9
europe_lau,Ibestad,ibestad,ib,59.35,65.84,55.54
europe_lau,Iborfia,iborfia,ib,40.89,67.31,92.83
europe_lau,Ibafa,ibafa,ib,50.43,65.17,64.2
europe_lau,Ibrány,ibrany,ib,26.63,72.96,92.54
europe_lau,Ibaneşti,ibanesti,ib,41.79,81.49,59.35
europe_lau,Ibăneşti,ibanesti,ib,37.28,53.2,-4.02
europe_lau,Ibaneşti,ibanesti,ib,19.54,72.03,87.79
