category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Quickborn,quickborn,qu,35.26,47.79,61.29
europe_lau,Quarnstedt,quarnstedt,qu,50.97,68.59,75.82
europe_lau,Quarnbek,quarnbek,qu,49.14,70.8,40.9
europe_lau,"Quickborn, Stadt",quickborn_stadt,qu,45.31,60.72,13.79
europe_lau,Querenhorst,querenhorst,qu,58.89,61.38,44.71
europe_lau,Quernheim,quernheim,qu,31.58,63.84,95.11
europe_lau,"Quakenbrück, Stadt",quakenbruck_stadt,qu,29.64,57.69,-60.1
europe_lau,Quiddelbach,quiddelbach,qu,48.46,75.99,60.09
europe_lau,Quendorf,quendorf,qu,39.47,57.94,12.43
europe_lau,Quirnheim,quirnheim,qu,43.13,62.54,97.86
europe_lau,Quirnbach,quirnbach,qu,35.11,48.5,82.87
europe_lau,Queidersbach,queidersbach,qu,39.31,64.66,17.88
europe_lau,Quirnbach/ Pfalz,quirnbach_pfalz,qu,39.31,56.5,1.65
europe_lau,Quitzdorf am See,quitzdorf_am_see,qu,38.12,55.49,86.55
europe_lau,"Quedlinburg, Welterbestadt",quedlinburg_welterbestadt,qu,38.91,53.03,87.92
europe_lau,"Querfurt, Stadt",querfurt_stadt,qu,68.48,73.45,52.81
europe_lau,Quierschied,quierschied,qu,45.38,64.38,86.47
europe_lau,Quaschwitz,quaschwitz,qu,33.07,83.59,91.37
europe_lau,Quemada,quemada,qu,44.32,67.4,88.42
europe_lau,Quintanabureba,quintanabureba,qu,63.62,71.54,48.15
europe_lau,Quintana del Pidio,quintana_del_pidio,qu,42.92,62.71,80.36
europe_lau,Quintanaélez,quintanaelez,qu,43.11,55.57,85.03
europe_lau,Quintanaortuño,quintanaortuno,qu,59.12,80.8,88.73
europe_lau,Quintanapalla,quintanapalla,qu,41.47,72.11,-19.94
europe_lau,Quintanar de la Sierra,quintanar_de_la_sierra,qu,64.39,71.21,67.78
europe_lau,Quintanavides,quintanavides,qu,38.01,71.22,93.61
europe_lau,Quintanilla de la Mata,quintanilla_de_la_mata,qu,39.66,56.71,18.79
europe_lau,Quintanilla del Coco,quintanilla_del_coco,qu,48.5,64.62,46.89
europe_lau,"Quintanillas, Las",quintanillas_las,qu,45.45,61.13,33.11
