category,name,slug,prefix,roundness,rectangularity,mobile_fit
europe_lau,Tatiná,tatina,ta,52.01,55.35,53.35
europe_lau,Tasovice,tasovice,ta,66.64,72.55,40.33
europe_lau,Tatobity,tatobity,ta,51.41,67.51,25.11
europe_lau,Taufkirchen an der Trattnach,taufkirchen_an_der_trattnach,ta,62.23,65.58,50.32
europe_lau,Tasov,tasov,ta,34.81,53.96,92.79
europe_lau,Tatenice,tatenice,ta,52.23,56.74,31.92
europe_lau,Tasov,tasov,ta,54.82,56.88,75.01
europe_lau,Tasovice,tasovice,ta,46.31,53.61,69.21
europe_lau,Tavíkovice,tavikovice,ta,47.66,68.85,-0.51
europe_lau,Taiskirchen im Innkreis,taiskirchen_im_innkreis,ta,61.45,62.99,55.03
europe_lau,Talkau,talkau,ta,52.47,58.9,73.47
europe_lau,Tasdorf,tasdorf,ta,43.19,81.54,-8.1
europe_lau,Tackesdorf,tackesdorf,ta,57.31,67.66,78.23
europe_lau,Tappendorf,tappendorf,ta,31.16,60.49,5.08
europe_lau,Tating,tating,ta,63.98,66.77,70.27
europe_lau,Taufkirchen an der Pram,taufkirchen_an_der_pram,ta,55.05,71.82,79.05
europe_lau,Tangstedt,tangstedt,ta,51.32,72.05,67.2
europe_lau,Tarbek,tarbek,ta,63.14,68.39,77.69
europe_lau,Tappenbeck,tappenbeck,ta,34.71,49.98,92.61
europe_lau,Taarstedt,taarstedt,ta,53.59,71.24,63.21
europe_lau,Tastrup,tastrup,ta,71.56,72.65,67.44
europe_lau,Tarp,tarp,ta,23.46,55.15,91.04
europe_lau,Tarmstedt,tarmstedt,ta,53.29,68.38,40.66
europe_lau,Tangstedt,tangstedt,ta,52.7,65.75,8.19
europe_lau,Tamsweg,tamsweg,ta,46.18,56.43,43.49
europe_lau,"Taunusstein, Stadt",taunusstein_stadt,ta,37.61,52.78,84.32
europe_lau,Taxenbach,taxenbach,ta,37.12,56.25,90.05
europe_lau,"Tann (Rhön), Stadt",tann_rhon_stadt,ta,53.15,65.13,70.72
europe_lau,Taben-Rodt,taben_rodt,ta,49.89,53.73,46.25
europe_lau,Tawern,tawern,ta,67.87,72.69,53.81
europe_lau,Talling,talling,ta,43.17,64.19,76.22
europe_lau,Tamm,tamm,ta,38.05,56.22,9.31
europe_lau,Tadten,tadten,ta,31.9,67.76,69.55
europe_lau,Talheim,talheim,ta,35.66,54.83,-16.8
europe_lau,Tarrenz,tarrenz,ta,40.5,59.85,57.1
europe_lau,Talheim,talheim,ta,48.67,70.47,42.43
europe_lau,"Tauberbischofsheim, Stadt",tauberbischofsheim_stadt,ta,47.9,53.03,80.64
europe_lau,Täferrot,taferrot,ta,65.39,75.35,50.51
europe_lau,Tannhausen,tannhausen,ta,33.08,52.87,-35.94
europe_lau,"Tann, M",tann_m,ta,42.16,51.48,82.59
europe_lau,Tannheim,tannheim,ta,53.09,69.43,40.06
europe_lau,Taufkirchen (Vils),taufkirchen_vils,ta,36.58,47.96,29.24
europe_lau,Tacherting,tacherting,ta,44.31,64.07,25.62
europe_lau,Taching a.See,taching_a_see,ta,56.94,72.15,48.79
europe_lau,Taufkirchen,taufkirchen,ta,52.76,61.43,51.25
europe_lau,Taufkirchen,taufkirchen,ta,46.84,59.91,36.1
europe_lau,"Tambach-Dietharz/Thür. Wald, Stadt",tambach_dietharz_thur_wald_stadt,ta,42.84,58.95,72.19
europe_lau,"Taucha, Stadt",taucha_stadt,ta,50.34,62.74,39.95
europe_lau,Tautenburg,tautenburg,ta,54.07,67.87,23.44
europe_lau,Tautendorf,tautendorf,ta,29.81,53.35,92.2
europe_lau,Tautenhain,tautenhain,ta,39.49,55.92,77.99
europe_lau,"Tangerhütte, Stadt",tangerhutte_stadt,ta,46.96,61.35,36.45
europe_lau,"Tangermünde, Stadt",tangermunde_stadt,ta,21.35,51.35,86.3
europe_lau,Tagmersheim,tagmersheim,ta,41.25,69.06,0.96
europe_lau,Tapfheim,tapfheim,ta,52.24,66.9,52.24
europe_lau,"Tanna, Stadt",tanna_stadt,ta,40.57,54.6,-3.07
europe_lau,Tastungen,tastungen,ta,45.77,63.35,72.72
europe_lau,Tårnby,tarnby,ta,46.55,66.07,24
europe_lau,Tabernas,tabernas,ta,66.42,73.14,32.4
europe_lau,Taberno,taberno,ta,31.03,58.84,90.08
europe_lau,Tahal,tahal,ta,32.16,60.2,83.66
europe_lau,Tarifa,tarifa,ta,44.02,64.48,49.7
europe_lau,Tamarón,tamaron,ta,52.62,69.81,-10.26
europe_lau,Tardajos,tardajos,ta,37.9,53.49,43.52
europe_lau,Tarazona de la Mancha,tarazona_de_la_mancha,ta,47.91,67.01,32.8
europe_lau,Tavèrnoles,tavernoles,ta,40.53,55.16,11.72
europe_lau,Tagamanent,tagamanent,ta,62.44,61.55,59.56
europe_lau,Talamanca,talamanca,ta,30.99,61.41,-70.78
europe_lau,Taradell,taradell,ta,55.92,63.11,28.09
europe_lau,Tavertet,tavertet,ta,48.81,62.22,19.93
