category,name,slug,prefix,roundness,rectangularity,mobile_fit
world_countries,Maldives,maldives,ma,9.23,41.4,84.75
world_countries,Malawi,malawi,ma,18.78,43.94,84.55
world_countries,Malaysia,malaysia,ma,19.15,47.71,-0.88
world_countries,Marshall Islands,marshall_islands,ma,49.95,65.02,61.75
world_countries,Macau,macau,ma,56.72,67.8,57.14
world_countries,Mauritania,mauritania,ma,53.58,58.52,65.83
world_countries,Mali,mali,ma,45.97,52.92,50.71
world_countries,Malta,malta,ma,41.37,67.96,47.97
world_countries,Mauritius,mauritius,ma,58.96,71.61,70.34
world_countries,Madagascar,madagascar,ma,30.36,64.46,93.94
